[2026-03-10 08:23:50] 감시 시작: session=tmp-codex interval=1s duration=2400s
[2026-03-10 08:23:50] llm=codex model= fallback_llm=glm fallback_model= capture=120 suspect_waits=1s/1s
[2026-03-10 08:23:50] tmux target: tmp-codex
[2026-03-10 08:23:50] 현재 tmux 세션:
[2026-03-10 08:23:50]   - art-codex
[2026-03-10 08:23:50]   - heapdump-codex
[2026-03-10 08:23:50]   - heapdump-output
[2026-03-10 08:23:50]   - heapdump-watcher
[2026-03-10 08:23:50]   - r8-codex
[2026-03-10 08:23:50]   - r8-output
[2026-03-10 08:23:50]   - r8-watch-shell-smoke
[2026-03-10 08:23:50]   - r8-watch-smoke
[2026-03-10 08:23:50]   - r8-watcher
[2026-03-10 08:23:50]   - tmp-codex
[2026-03-10 08:23:50]   - tmp-copilot
[2026-03-10 08:23:50]   - tmp-gemini
[2026-03-10 08:23:50]   - tmp-glm
[2026-03-10 08:23:50]   - watcher
[2026-03-10 08:23:50] base dual capture
[2026-03-10 08:23:51] base dual capture
[2026-03-10 08:23:52] base dual capture
[2026-03-10 08:23:53] base dual capture
[2026-03-10 08:23:54] base dual capture
[2026-03-10 08:23:55] base dual capture
[2026-03-10 08:23:56] base dual capture
[2026-03-10 08:23:57] base dual capture
[2026-03-10 08:23:58] base dual capture
[2026-03-10 08:23:59] base dual capture
[2026-03-10 08:24:00] base dual capture
[2026-03-10 08:24:01] base dual capture
[2026-03-10 08:24:02] base dual capture
[2026-03-10 08:24:03] base dual capture
[2026-03-10 08:24:04] base dual capture
[2026-03-10 08:24:05] base dual capture
[2026-03-10 08:24:06] base dual capture
[2026-03-10 08:24:07] base dual capture
[2026-03-10 08:24:08] base dual capture
[2026-03-10 08:24:09] base dual capture
[2026-03-10 08:24:10] base dual capture
[2026-03-10 08:24:11] base dual capture
[2026-03-10 08:24:12] base dual capture
[2026-03-10 08:24:13] base dual capture
[2026-03-10 08:24:14] base dual capture
[2026-03-10 08:24:15] base dual capture
[2026-03-10 08:24:16] base dual capture
[2026-03-10 08:24:17] base dual capture
[2026-03-10 08:24:18] base dual capture
[2026-03-10 08:24:19] base dual capture
[2026-03-10 08:24:20] base dual capture
[2026-03-10 08:24:21] base dual capture
[2026-03-10 08:24:22] base dual capture
[2026-03-10 08:24:23] base dual capture
[2026-03-10 08:24:24] base dual capture
[2026-03-10 08:24:25] base dual capture
[2026-03-10 08:24:26] base dual capture
[2026-03-10 08:24:27] base dual capture
[2026-03-10 08:24:28] base dual capture
[2026-03-10 08:24:29] base dual capture
[2026-03-10 08:24:30] base dual capture
[2026-03-10 08:24:31] base dual capture
[2026-03-10 08:24:32] base dual capture
[2026-03-10 08:24:33] base dual capture
[2026-03-10 08:24:34] base dual capture
[2026-03-10 08:24:35] base dual capture
[2026-03-10 08:24:37] base dual capture
[2026-03-10 08:24:38] base dual capture
[2026-03-10 08:24:39] base dual capture
[2026-03-10 08:24:40] base dual capture
[2026-03-10 08:24:41] base dual capture
[2026-03-10 08:24:42] base dual capture
[2026-03-10 08:24:43] base dual capture
[2026-03-10 08:24:44] base dual capture
[2026-03-10 08:24:45] base dual capture
[2026-03-10 08:24:46] base dual capture
[2026-03-10 08:24:47] base dual capture
[2026-03-10 08:24:48] base dual capture
[2026-03-10 08:24:49] base dual capture
[2026-03-10 08:24:50] base dual capture
[2026-03-10 08:24:51] base dual capture
[2026-03-10 08:24:52] base dual capture
[2026-03-10 08:24:53] base dual capture
[2026-03-10 08:24:54] base dual capture
[2026-03-10 08:24:55] base dual capture
[2026-03-10 08:24:56] base dual capture
[2026-03-10 08:24:57] base dual capture
[2026-03-10 08:24:58] base dual capture
[2026-03-10 08:24:59] base dual capture
[2026-03-10 08:25:00] base dual capture
[2026-03-10 08:25:01] base dual capture
[2026-03-10 08:25:02] base dual capture
[2026-03-10 08:25:03] base dual capture
[2026-03-10 08:25:04] base dual capture
[2026-03-10 08:25:05] base dual capture
[2026-03-10 08:25:06] base dual capture
[2026-03-10 08:25:07] base dual capture
[2026-03-10 08:25:08] base dual capture
[2026-03-10 08:25:09] base dual capture
[2026-03-10 08:25:10] base dual capture
[2026-03-10 08:25:11] base dual capture
[2026-03-10 08:25:12] base dual capture
[2026-03-10 08:25:13] base dual capture
[2026-03-10 08:25:14] base dual capture
[2026-03-10 08:25:15] base dual capture
[2026-03-10 08:25:16] base dual capture
[2026-03-10 08:25:18] base dual capture
[2026-03-10 08:25:19] base dual capture
[2026-03-10 08:25:20] base dual capture
[2026-03-10 08:25:21] base dual capture
[2026-03-10 08:25:22] base dual capture
[2026-03-10 08:25:23] base dual capture
[2026-03-10 08:25:24] base dual capture
[2026-03-10 08:25:25] base dual capture
[2026-03-10 08:25:26] base dual capture
[2026-03-10 08:25:27] base dual capture
[2026-03-10 08:25:28] base dual capture
